4/19/2025 | 3:11:14 PM | POST | /auth | 404 | 1.881ms
4/19/2025 | 3:12:31 PM | POST | /auth | 400 | 55.766ms
4/19/2025 | 3:13:57 PM | POST | /auth | 400 | 46.880ms
4/19/2025 | 3:14:18 PM | POST | /auth | 400 | 47.394ms
4/19/2025 | 3:14:38 PM | POST | /auth | 400 | 38.511ms
4/19/2025 | 3:16:54 PM | POST | /auth | 200 | 63.449ms
4/19/2025 | 3:18:03 PM | POST | /auth/login | 400 | 5.155ms
4/19/2025 | 3:18:26 PM | POST | /auth/login | 400 | 2.779ms
4/19/2025 | 3:19:16 PM | POST | /auth/login | 400 | 2.066ms
4/19/2025 | 3:20:00 PM | POST | /auth/login | 400 | 8.451ms
4/19/2025 | 3:22:32 PM | POST | /auth/login | 400 | 7.686ms
4/19/2025 | 3:24:10 PM | POST | /auth/login | 400 | 9.398ms
4/19/2025 | 3:25:43 PM | POST | /auth/login | 400 | 7.968ms
4/19/2025 | 3:26:39 PM | POST | /auth/login | 400 | 8.259ms
4/19/2025 | 3:28:08 PM | POST | /auth | 200 | 46.719ms
4/19/2025 | 3:28:56 PM | POST | /auth/login | 400 | 2.574ms
4/19/2025 | 3:30:36 PM | POST | /auth | 200 | 50.681ms
4/19/2025 | 3:31:04 PM | POST | /auth/login | 200 | 41.932ms
4/19/2025 | 3:31:18 PM | POST | /auth/login | 200 | 37.639ms
4/19/2025 | 3:31:40 PM | POST | /auth/login | 200 | 37.075ms
4/19/2025 | 3:33:10 PM | POST | /auth/login | 200 | 35.371ms
4/19/2025 | 3:34:05 PM | POST | /auth/login | 200 | 35.931ms
4/19/2025 | 3:34:47 PM | POST | /auth/login | 200 | 35.592ms
4/19/2025 | 3:34:47 PM | GET | /auth/6803976cd449b786a90a85c1 | 200 | 5.161ms
4/19/2025 | 3:34:48 PM | GET | /auth/6803976cd449b786a90a85c1 | 304 | 2.247ms
4/19/2025 | 3:35:11 PM | GET | /auth/6803976cd449b786a90a85c1 | 304 | 2.740ms
4/19/2025 | 3:35:11 PM | GET | /auth/6803976cd449b786a90a85c1 | 304 | 2.099ms
4/19/2025 | 3:37:26 PM | GET | /auth/6803976cd449b786a90a85c1 | 304 | 11.249ms
4/19/2025 | 3:37:26 PM | GET | /auth/6803976cd449b786a90a85c1 | 304 | 9.405ms
4/19/2025 | 4:31:57 PM | GET | /auth/6803976cd449b786a90a85c1 | 304 | 2.244ms
4/19/2025 | 4:32:41 PM | GET | /auth/6803976cd449b786a90a85c1 | 304 | 2.120ms
4/19/2025 | 4:33:27 PM | GET | /auth/6803976cd449b786a90a85c1 | 304 | 2.121ms
4/19/2025 | 4:33:34 PM | GET | /auth/6803976cd449b786a90a85c1 | 304 | 1.931ms
4/19/2025 | 4:34:35 PM | GET | /auth/6803976cd449b786a90a85c1 | 304 | 1.793ms
4/19/2025 | 4:34:44 PM | GET | /auth/6803976cd449b786a90a85c1 | 304 | 1.690ms
4/19/2025 | 4:34:59 PM | POST | /auth/login | 200 | 39.428ms
4/19/2025 | 4:34:59 PM | GET | /auth/6803976cd449b786a90a85c1 | 304 | 1.812ms
4/19/2025 | 4:37:09 PM | GET | /auth/6803976cd449b786a90a85c1 | 304 | 2.270ms
4/19/2025 | 4:46:56 PM | GET | /auth/6803976cd449b786a90a85c1 | 304 | 4.195ms
4/19/2025 | 6:04:53 PM | GET | /auth/6803976cd449b786a90a85c1 | 304 | 7.850ms
4/19/2025 | 6:05:39 PM | GET | /auth/6803976cd449b786a90a85c1 | 304 | 8.020ms
